User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?
1549,1,2017,1,25,10:31,$54.63,Online Transaction,-2088492411650162548, ONLINE,,,4784,,No
392,1,2009,7,1,08:38,$1.86,Swipe Transaction,6091778774361517457,West Columbia,SC,29172.0,5411,,No
705,3,1998,9,19,11:55,$140.00,Swipe Transaction,-4282466774399734331,Menifee,CA,92584.0,4829,,No
405,0,2010,4,28,16:24,$0.77,Swipe Transaction,-6571010470072147219,Roseville,CA,95747.0,5499,,No
943,0,2017,8,5,19:16,$16.97,Swipe Transaction,5077703802982187844,Chicago,IL,60629.0,5411,,No
615,6,2010,4,6,22:44,$29.64,Swipe Transaction,-2916542501422915698,Lakewood,NJ,8701.0,5719,,No
1374,0,2009,7,29,15:00,$95.92,Swipe Transaction,6289495754975155800,Phoenix,AZ,85083.0,5300,,No
789,0,2018,3,29,13:01,$18.03,Chip Transaction,2315173976322534678,Miami,FL,33186.0,4121,,No
982,0,2009,1,18,14:37,$21.71,Swipe Transaction,-3415829264290759060,Houston,TX,77095.0,7542,,No
1340,0,2008,7,19,06:51,$7.95,Swipe Transaction,97032797689821735,Chandler,TX,75758.0,5411,,No
209,1,2012,6,13,18:26,$25.06,Online Transaction,-521141999023077663, ONLINE,,,5815,,Yes
1086,0,2013,7,22,09:29,$94.47,Online Transaction,-5467922351692495955, ONLINE,,,5912,,Yes
1729,0,2006,7,25,09:48,$16.54,Swipe Transaction,7493741870839695700,Una,SC,29378.0,5411,,Yes
73,3,2018,6,22,16:23,$5.57,Chip Transaction,-984444807771159720,Rome,Italy,,5814,,Yes
1283,6,2007,10,18,12:43,$80.27,Online Transaction,-3220758452254689706, ONLINE,,,5311,,Yes
